message_id,message,category,risk_level,synthetic,verification_status
SMS098,Your scheduled service appointment is confirmed for Thursday.,Legitimate,Green,True,needs_review
SMS099,Your selected reward expires today. Complete the claim form now using the secure verification page.,Prize Scam,Amber,True,needs_review
SMS100,Your document is ready to collect from the service centre.,Legitimate,Green,True,needs_review
SMS101,Your prize requires identity confirmation. Pay the processing fee now using the secure verification page.,Prize Scam,Amber,True,needs_review
SMS102,Your work-from-home application requires an application payment. Complete the employment form now using the secure verification page.,Job Scam,Red,True,needs_review
SMS103,Your work-from-home application has been shortlisted. Confirm your application now using the secure verification page.,Job Scam,Red,True,needs_review
SMS104,Your bank account requires an identity check. Confirm your account now using the secure verification page.,Bank Scam,Red,True,needs_review
SMS105,Your account security has detected a serious security problem. Contact technical support now using the secure verification page.,Tech Support Scam,Red,True,needs_review
SMS106,Your university class is scheduled for Friday at 12:00 PM.,Legitimate,Green,True,needs_review
SMS107,Your shipment has been placed on hold. Pay the delivery fee now using the secure verification page.,Delivery Scam,Red,True,needs_review
SMS108,Your appointment is confirmed for Saturday at 2:00 PM.,Legitimate,Green,True,needs_review
SMS109,Your online government account requires urgent verification. Verify your information now using the secure verification page.,Government Scam,Red,True,needs_review
SMS110,Your parcel has been delivered successfully.,Legitimate,Green,True,needs_review
SMS111,Your membership renewal is scheduled for Tuesday.,Legitimate,Green,True,needs_review
SMS112,Your government payment requires urgent verification. Verify your information now using the secure verification page.,Government Scam,Red,True,needs_review
SMS113,Your online government account is awaiting confirmation. Confirm your account now using the secure verification page.,Government Scam,Red,True,needs_review
SMS114,Your appointment reminder is for Friday at 12:00 PM.,Legitimate,Green,True,needs_review
SMS115,Your debit card requires immediate verification. Verify your details now using the secure verification page.,Bank Scam,Red,True,needs_review
SMS116,Your online job application has been selected for further processing. Provide your personal information now using the secure verification page.,Job Scam,Red,True,needs_review
SMS117,Your internet connection requires immediate technical support. Download the security tool now using the secure verification page.,Tech Support Scam,Red,True,needs_review
SMS118,Your online banking access requires an identity check. Review the security alert now using the secure verification page.,Bank Scam,Red,True,needs_review
SMS119,Your online job application requires an application payment. Send your banking details now using the secure verification page.,Job Scam,Red,True,needs_review
SMS120,Your shipment is waiting for address confirmation. Confirm your parcel now using the secure verification page.,Delivery Scam,Red,True,needs_review
SMS121,Your appointment reminder is for Friday at 2:00 PM.,Legitimate,Green,True,needs_review
SMS122,Your internet connection has an unusual security alert. Contact technical support now using the secure verification page.,Tech Support Scam,Red,True,needs_review
SMS123,Your university class is scheduled for Friday at 3:30 PM.,Legitimate,Green,True,needs_review
SMS124,Your account security may have been infected. Contact technical support now using the secure verification page.,Tech Support Scam,Red,True,needs_review
SMS125,Your delivery has been scheduled for Thursday.,Legitimate,Green,True,needs_review
SMS126,Your account security has been temporarily restricted. Confirm your account now using the secure verification page.,Bank Scam,Red,True,needs_review
SMS127,Your university timetable has been updated.,Legitimate,Green,True,needs_review
SMS128,Your courier delivery requires a delivery payment. Update your delivery details now using the secure verification page.,Delivery Scam,Red,True,needs_review
SMS129,Your appointment reminder is for Tuesday at 2:00 PM.,Legitimate,Green,True,needs_review
SMS130,A limited investment opportunity requires an initial transfer. Transfer the initial amount now using the secure verification page.,Investment Scam,Red,True,needs_review
SMS131,Your selected reward requires a processing payment. Pay the processing fee now using the secure verification page.,Prize Scam,Red,True,needs_review
SMS132,Your selected reward expires today. Verify your information now using the secure verification page.,Prize Scam,Red,True,needs_review
SMS133,Your security software has an unusual security alert. Call the support number now using the secure verification page.,Tech Support Scam,Amber,True,needs_review
SMS134,Your government account requires an immediate response. Confirm your details now using the secure verification page.,Government Scam,Red,True,needs_review
SMS135,Your electricity bill is now available to view online.,Legitimate,Green,True,needs_review
SMS136,Your courier delivery could not be delivered. Update your delivery details now using the secure verification page.,Delivery Scam,Red,True,needs_review
SMS137,Your appointment reminder is for Thursday at 9:00 AM.,Legitimate,Green,True,needs_review
SMS138,Your tax record requires an immediate response. Review the notice now using the secure verification page.,Government Scam,Amber,True,needs_review
SMS139,A remote employment opportunity has been shortlisted. Send your banking details now using the secure verification page.,Job Scam,Red,True,needs_review
SMS140,Your application has been received successfully.,Legitimate,Green,True,needs_review
SMS141,Your parcel is waiting for address confirmation. Confirm your parcel now using the secure verification page.,Delivery Scam,Red,True,needs_review
SMS142,A flexible work opportunity has been shortlisted. Pay the registration fee now using the secure verification page.,Job Scam,Red,True,needs_review
SMS143,Your parcel requires additional information. Pay the delivery fee now using the secure verification page.,Delivery Scam,Red,True,needs_review
SMS144,Your appointment is confirmed for Monday at 10:30 AM.,Legitimate,Green,True,needs_review
SMS145,A limited investment opportunity requires immediate confirmation. Transfer the initial amount now using the secure verification page.,Investment Scam,Red,True,needs_review
SMS146,Your outstanding notice requires urgent verification. Confirm your account now using the secure verification page.,Government Scam,Red,True,needs_review
SMS147,Your appointment reminder is for Thursday at 12:00 PM.,Legitimate,Green,True,needs_review
SMS148,Your account security has detected a serious security problem. Call the support number now using the secure verification page.,Tech Support Scam,Amber,True,needs_review
SMS149,Your appointment is confirmed for Thursday at 12:00 PM.,Legitimate,Green,True,needs_review
SMS150,Your computer requires an urgent security check. Call the support number now using the secure verification page.,Tech Support Scam,Red,True,needs_review
SMS151,Your university class is scheduled for Thursday at 12:00 PM.,Legitimate,Green,True,needs_review
SMS152,Your delivery has been scheduled for Friday.,Legitimate,Green,True,needs_review
SMS153,A special financial opportunity offers guaranteed returns. Register for the opportunity now using the secure verification page.,Investment Scam,Red,True,needs_review
SMS154,Your online government account is awaiting confirmation. Complete the requested information now using the secure verification page.,Government Scam,Red,True,needs_review
SMS155,Your investment opportunity requires immediate confirmation. Confirm your investment now using the secure verification page.,Investment Scam,Red,True,needs_review
SMS156,Your online job application requires an application payment. Pay the registration fee now using the secure verification page.,Job Scam,Amber,True,needs_review
SMS157,Your university class is scheduled for Tuesday at 4:30 PM.,Legitimate,Green,True,needs_review
SMS158,Your delivery has been placed on hold. Confirm your parcel now using the secure verification page.,Delivery Scam,Red,True,needs_review
SMS159,Your computer may have been infected. Download the security tool now using the secure verification page.,Tech Support Scam,Amber,True,needs_review
SMS160,Your selected reward is waiting to be claimed. Confirm your details now using the secure verification page.,Prize Scam,Red,True,needs_review
SMS161,Your membership renewal is scheduled for Saturday.,Legitimate,Green,True,needs_review
SMS162,Your scheduled service appointment is confirmed for Saturday.,Legitimate,Green,True,needs_review
SMS163,A remote employment opportunity is ready for immediate approval. Provide your personal information now using the secure verification page.,Job Scam,Red,True,needs_review
SMS164,Your courier delivery could not be delivered. Reschedule the delivery now using the secure verification page.,Delivery Scam,Red,True,needs_review
SMS165,Your scheduled service appointment is confirmed for Tuesday.,Legitimate,Green,True,needs_review
SMS166,Your package requires additional information. Confirm your parcel now using the secure verification page.,Delivery Scam,Red,True,needs_review
SMS167,Your investment opportunity requires an initial transfer. Provide your payment details now using the secure verification page.,Investment Scam,Red,True,needs_review
SMS168,Your scheduled service appointment is confirmed for Monday.,Legitimate,Green,True,needs_review
SMS169,Your appointment is confirmed for Friday at 2:00 PM.,Legitimate,Green,True,needs_review
SMS170,Your tax record requires urgent verification. Complete the requested information now using the secure verification page.,Government Scam,Red,True,needs_review
SMS171,A limited investment opportunity expires today. Transfer the initial amount now using the secure verification page.,Investment Scam,Red,True,needs_review
SMS172,Your bank account has a pending security alert. Confirm your account now using the secure verification page.,Bank Scam,Red,True,needs_review
SMS173,Your university class is scheduled for Wednesday at 2:00 PM.,Legitimate,Green,True,needs_review
SMS174,Your courier delivery requires a delivery payment. Pay the delivery fee now using the secure verification page.,Delivery Scam,Red,True,needs_review
SMS175,A remote employment opportunity requires additional personal information. Send your banking details now using the secure verification page.,Job Scam,Red,True,needs_review
SMS176,Your prize expires today. Complete the claim form now using the secure verification page.,Prize Scam,Red,True,needs_review
SMS177,Your online booking has been confirmed.,Legitimate,Green,True,needs_review
SMS178,Your prize requires identity confirmation. Complete the claim form now using the secure verification page.,Prize Scam,Red,True,needs_review
SMS179,Your library book is due on Thursday.,Legitimate,Green,True,needs_review
SMS180,Your cash reward requires identity confirmation. Pay the processing fee now using the secure verification page.,Prize Scam,Red,True,needs_review
SMS181,Your subscription payment was processed successfully.,Legitimate,Green,True,needs_review
SMS182,A new investment offer expires today. Register for the opportunity now using the secure verification page.,Investment Scam,Red,True,needs_review
SMS183,A recent transaction has detected unusual activity. Confirm your account now using the secure verification page.,Bank Scam,Red,True,needs_review
SMS184,Your promotional reward has been approved. Verify your information now using the secure verification page.,Prize Scam,Amber,True,needs_review
SMS185,A recent transaction requires an identity check. Verify your details now using the secure verification page.,Bank Scam,Red,True,needs_review
SMS186,Your prize requires a processing payment. Verify your information now using the secure verification page.,Prize Scam,Red,True,needs_review
SMS187,A recent transaction has a pending security alert. Review the security alert now using the secure verification page.,Bank Scam,Red,True,needs_review
SMS188,Your prize has been approved. Verify your information now using the secure verification page.,Prize Scam,Red,True,needs_review
SMS189,Your debit card has a pending security alert. Confirm the transaction now using the secure verification page.,Bank Scam,Red,True,needs_review
SMS190,A special financial opportunity offers guaranteed returns. Secure your investment now using the secure verification page.,Investment Scam,Red,True,needs_review
SMS191,Your library book is due on Tuesday.,Legitimate,Green,True,needs_review
SMS192,Your membership renewal is scheduled for Friday.,Legitimate,Green,True,needs_review
SMS193,Your device requires immediate technical support. Install the recommended software now using the secure verification page.,Tech Support Scam,Amber,True,needs_review
SMS194,Your government account is awaiting confirmation. Confirm your account now using the secure verification page.,Government Scam,Amber,True,needs_review
SMS195,Your appointment reminder is for Monday at 4:30 PM.,Legitimate,Green,True,needs_review
SMS196,Your account security requires an urgent security check. Confirm your device details now using the secure verification page.,Tech Support Scam,Red,True,needs_review
SMS197,A special financial opportunity requires an initial transfer. Transfer the initial amount now using the secure verification page.,Investment Scam,Red,True,needs_review
SMS198,Your shipment requires a delivery payment. Update your delivery details now using the secure verification page.,Delivery Scam,Red,True,needs_review
SMS199,Your online government account requires an immediate response. Review the notice now using the secure verification page.,Government Scam,Amber,True,needs_review
SMS200,Your promotional reward requires identity confirmation. Confirm your details now using the secure verification page.,Prize Scam,Red,True,needs_review
